Format;doppelseitig;Farbe;Papier;Preis;Waehrung
A2;doppelseitig;schwarz/weiss;matt;16;CHF
A2;doppelseitig;cmyk;matt;8;CHF
A2;einseitig;schwarz/weiss;matt;4;CHF
A2;einseitig;cmyk;matt;8;CHF
A2;doppelseitig;schwarz/weiss;glanz;8;CHF
A2;doppelseitig;cmyk;glanz;16;CHF
A2;einseitig;schwarz/weiss;glanz;4;CHF
A2;einseitig;cmyk;glanz;8;CHF
A3;doppelseitig;schwarz/weiss;matt;8;CHF
A3;doppelseitig;cmyk;matt;4;CHF
A3;einseitig;schwarz/weiss;matt;2;CHF
A3;einseitig;cmyk;matt;4;CHF
A3;doppelseitig;schwarz/weiss;glanz;4;CHF
A3;doppelseitig;cmyk;glanz;8;CHF
A3;einseitig;schwarz/weiss;glanz;2;CHF
A3;einseitig;cmyk;glanz;4;CHF
A4;doppelseitig;schwarz/weiss;matt;4;CHF
A4;doppelseitig;cmyk;matt;2;CHF
A4;einseitig;schwarz/weiss;matt;1;CHF
A4;einseitig;cmyk;matt;2;CHF
A4;doppelseitig;schwarz/weiss;glanz;2;CHF
A4;doppelseitig;cmyk;glanz;4;CHF
A4;einseitig;schwarz/weiss;glanz;1;CHF
A4;einseitig;cmyk;glanz;2;CHF
A5;doppelseitig;schwarz/weiss;matt;7;CHF
A5;doppelseitig;cmyk;matt;3;CHF
A5;einseitig;schwarz/weiss;matt;1;CHF
A5;einseitig;cmyk;matt;3;CHF
A5;doppelseitig;schwarz/weiss;glanz;3;CHF
A5;doppelseitig;cmyk;glanz;7;CHF
A5;einseitig;schwarz/weiss;glanz;1;CHF
A5;einseitig;cmyk;glanz;3;CHF
A6;doppelseitig;schwarz/weiss;matt;6;CHF
A6;doppelseitig;cmyk;matt;3;CHF
A6;einseitig;schwarz/weiss;matt;1;CHF
A6;einseitig;cmyk;matt;3;CHF
A6;doppelseitig;schwarz/weiss;glanz;3;CHF
A6;doppelseitig;cmyk;glanz;6;CHF
A6;einseitig;schwarz/weiss;glanz;1;CHF
A6;einseitig;cmyk;glanz;3;CHF
